Name,Department,Title,Image
郗小超,设计系,副教授,https://sdmda.bupt.edu.cn//__local/4/7B/17/43100AE75FEFD0D1364595743C4_4B665213_CAE1A.jpg?e=.jpg
谭剑,设计系,副教授,https://sdmda.bupt.edu.cn//__local/F/B6/F9/5DC26B91F2CCBAD4D91298D5AAD_FAF3E83C_10268D.jpg?e=.jpg
吕菲,设计系,副教授,https://sdmda.bupt.edu.cn//__local/3/D8/17/678C30C22E130F88D5745B92FB7_AB69F4AE_13B994.jpg?e=.jpg
李铁萌,设计系,副教授,https://sdmda.bupt.edu.cn//__local/C/A1/B3/238BA95C63D3095558979025EF5_691BA3CD_A9999.jpg?e=.jpg
高盟,设计系,副教授,https://sdmda.bupt.edu.cn//__local/0/EB/A8/03D65E08A9C77107C14D1A10309_FA0D0C06_BB3C0.jpg?e=.jpg
吕美玉,设计系,副教授,https://sdmda.bupt.edu.cn//__local/8/11/F9/07F03C359A3EA52157828A3A891_7BF60BCC_ABDA3.jpg?e=.jpg
盛卿,设计系,副教授,https://sdmda.bupt.edu.cn//__local/6/CD/29/357B267647B4A58C144A42CA585_B5D4EC6E_49D2B.jpg?e=.jpg
孙炜,设计系,副教授,https://sdmda.bupt.edu.cn//__local/B/10/DB/04A3EE1DA526E7580EB33E39B8C_7E0ECB15_7548E.jpg?e=.jpg
由振伟,设计系,副教授,https://sdmda.bupt.edu.cn//__local/2/76/46/0D766D3DDBF6BBBC5B898398DCC_ED0BB72C_602DC.jpg?e=.jpg
汪晓春,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/0/23/3F/4619D11E683D9299B8CD7ECDBB7_96B32214_BE94A.jpg?e=.jpg
柳杨,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/D/DB/B8/E27479AF988FAFE149FF7885D35_136CE79B_6260C.jpg?e=.jpg
符强,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/E/43/EE/81754690A2B901150E77E09BFD4_183749D5_46232.jpg
李萌,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/7/F5/60/A20EB71E84F57E48370FF074C4F_4F4533FC_1DAA43.jpg
兰名荥,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/4/3E/BB/9632453D313127ABB1116C56B97_DA5310D3_117DB0.jpg?e=.jpg
张跃,数字媒体系,副教授,https://sdmda.bupt.edu.cn//__local/8/0A/45/98C3DBC02178329D9FEEAB02380_1E114146_6499C.jpg
高崇,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/4/DE/38/BF0799564C659C4E05EC4731650_46E912FB_4FDD0.jpg?e=.jpg
黄淼,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/0/86/7C/3EE5FF3FC51C347566C5B1EA784_4F638E96_DA186.jpg?e=.jpg
梁爽,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/9/7C/33/D0913A58A6EB3510A18552A9386_34C711A9_CA123.jpg?e=.jpg
黄传武,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/4/13/1A/0E98A9B0B289FD9792B53F0B849_7D147B6E_80238.jpg?e=.jpg
蒋淑媛,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/8/39/91/325F75953C7C5BF1EB19050CAF6_B419C5DE_4788D.jpg?e=.jpg
梁刚,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/2/35/34/0D8E8D98FC5B9B6ED3689B32017_4D8CC254_7984A.jpg?e=.jpg
刘剑,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/2/9B/B2/36FE86B54FEBD0532165095ED97_EE33F41D_9BC79.jpg?e=.jpg
任乐毅,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/8/C9/91/247BCA3EF1014173C0EF71059D1_6D6E9DD5_4C5BF.jpg?e=.jpg
万柳,传播学系,副教授,https://sdmda.bupt.edu.cn//__local/5/EE/0A/7C6D71AF1A3C7286D48D0A8B415_AD5BF512_5E18A.jpg?e=.jpg
王海智,艺术教研中心,副教授,https://sdmda.bupt.edu.cn//__local/3/25/C8/DF3A459D16ADA5F929E545CCB0E_34D542E5_569FF.jpg?e=.jpg
郑晓慧,艺术教研中心,副教授,https://sdmda.bupt.edu.cn//__local/B/DE/D8/7F0ED9887A3D4B3637928C4D28E_8856D44D_69D7F.jpg?e=.jpg
