Name,Department,Title,Image
郭艺涵,艺术教研中心,讲师,https://sdmda.bupt.edu.cn//__local/5/E8/8E/120BDAF27CBCE0191393130937B_64D1799B_1A332B.jpg?e=.jpg
刘晓勇,艺术教研中心,讲师,https://sdmda.bupt.edu.cn//__local/E/DA/B3/EB5F93A575F5005B64C3D959719_53C00892_AE3A8.jpg?e=.jpg
马辉,艺术教研中心,讲师,https://sdmda.bupt.edu.cn//__local/4/12/C0/D755CC248BEDBCF33C7D3011550_555FBE08_D29E2.jpg?e=.jpg
马梦鹤,艺术教研中心,讲师,https://sdmda.bupt.edu.cn//__local/D/BD/ED/F322EA1CC7E771FB63F0CF370A5_D613C8E1_4B5C8.jpg?e=.jpg
赵天奇,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/3/DD/50/3FEB88AF642BD9A8DFFD8376E66_89313742_1E7281.jpg?e=.jpg
张宪林,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/0/8F/7E/2BB554995444596C71D93257F24_286EC18E_C06FE.jpg?e=.jpg
王楠,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/4/12/05/562FB57609E173F522ACC208169_44815517_D434F.jpg?e=.jpg
曹璐,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/D/02/FE/BDCA91994489AAE7F207DF26E7A_318DD6B7_58263.jpg?e=.jpg
郭宁,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/4/ED/1B/E5EC8BE10632490632DA911EBC8_057D4CAB_7D213.jpg?e=.jpg
李荣锋,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/C/94/51/751ECDEC78F0FE4D7337E14CBB1_1BAC7D55_12A66F.jpg?e=.jpg
陈思,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/6/25/1F/C47E113B8210CB9D0360C33A03F_8C6D2C57_92558.jpg?e=.jpg
孙尚,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/8/E6/C4/ACA2ED38312C65C63B28CDB1E25_1096B36B_68AA5.jpg?e=.jpg
周博,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/5/C6/3D/BDA4DE6E8547393062B6A053E7A_4D1A915A_B16AA.jpg?e=.jpg
张若宸,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/D/92/5C/4105D8BBBE091AFAC90D0189E97_9C6DFDCA_525EF.jpg?e=.jpg
王希萌,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/5/15/11/4ABB16A259F8197364AAA1516A5_FA162999_60192.jpg
程希,数字媒体系,讲师,https://sdmda.bupt.edu.cn//__local/7/EA/3B/F893E20DB640C1BF288BC892563_6390B35F_646FD.jpg
兰朵,传播学系,讲师,https://sdmda.bupt.edu.cn//__local/0/E8/3A/7B7FCD85EF1483032604DED2FFC_6B8837C8_1756B2.jpg?e=.jpg
陈曲,传播学系,讲师,https://sdmda.bupt.edu.cn//__local/B/89/07/435CB031BA9B67F475E3F2F363A_4B714062_8BAAB.jpg?e=.jpg
秦宪刚,设计系,讲师,https://sdmda.bupt.edu.cn//__local/6/12/62/306BF4F4551A769D6C7E0336551_3635234B_647E5.jpg?e=.jpg
